LocalTime,Volume
23:00,9400.4163865002
00:00,10277.783990967
01:00,8003.99727095105
02:00,8970.23815567151
03:00,9900.94682709358
04:00,10313.7082915351
05:00,10117.6874698688
06:00,8757.0209939764
07:00,8513.59744719863
08:00,10066.3562887657
09:00,7902.81554493253
10:00,9718.52038368514
11:00,8352.26039558289
12:00,9652.0176262837
13:00,10166.3570749417
14:00,8758.62972939323
15:00,10096.50946413
16:00,9946.2878522213
17:00,8338.65186215316
18:00,6952.28126410035
19:00,8781.52161267657
20:00,6988.59512805408
21:00,8679.49622388906
22:00,7710.43904624434
LocalTime,Volume
23:00,3933.01691530879
00:00,6193.2491372308
01:00,6862.2433095529
02:00,5304.23156512167
03:00,5262.38945371583
04:00,4556.09051815983
05:00,5045.49350172537
06:00,7222.35912281198
07:00,4075.92037137408
08:00,4880.08920330558
09:00,6977.64595783206
10:00,6361.78504413077
11:00,5086.20769674247
12:00,5641.33909141707
13:00,6115.91557837833
14:00,6287.53393808731
15:00,4203.02854441247
16:00,4372.10046610427
17:00,6637.9064510753
18:00,4937.43132936649
19:00,6376.32731039837
20:00,5651.47389408735
21:00,5776.59117699442
22:00,5631.22496224531
